Genre1;Genre1_Std
Antológiák;antologiak
Kortárs;kortars
Vámpírregények;vampirregenyek
Történelmi;tortenelmi
A Monarchia kora;a monarchia kora
Okkultizmus, spiritizmus;okkultizmus spiritizmus
Egyéb;egyeb
Szobrászat;szobraszat
Vallásfilozófia;vallasfilozofia
Állat- és növényvilág;allat es novenyvilag
Tinédzsereknek;tinedzsereknek
Nyelvészet;nyelveszet
Kereszténység;keresztenyseg
Heraldika, családtörténet;heraldika csaladtortenet
Kortárs mesék;kortars mesek
Környezetvédelem, ökológia;kornyezetvedelem okologia
Orvoslástörténet;orvoslastortenet
20. század;20 szazad
6-10 éveseknek;610 eveseknek
Gyermekversek, dalok;gyermekversek dalok
Építőipar;epitoipar
Magyar művelődéstörténet;magyar muvelodestortenet
Gyermeknevelés;gyermekneveles
Pedagógia;pedagogia
Programozás;programozas
Befektetés, vállalkozás;befektetes vallalkozas
Néprajz;neprajz
Régészet;regeszet
A török hódoltság kora;a torok hodoltsag kora
Magyar építészet;magyar epiteszet
Középkor;kozepkor
Hadászat;hadaszat
Őstörténet és honfoglalás;ostortenet es honfoglalas
Határidőnapló;hataridonaplo
;
Jegyzetfüzet, notesz, toll;jegyzetfuzet notesz toll
Általános;altalanos
Klasszikus mesék;klasszikus mesek
Ajándéktárgyak;ajandektargyak
Jóslás, álomfejtés, tarot;joslas alomfejtes tarot
Játékkártya, társasjáték;jatekkartya tarsasjatek
2023-as naptárak;2023as naptarak
1848-49;184849
Erdély;erdely
Szociológia;szociologia
Angolszász;angolszasz
Metafizika, ismeretelmélet;metafizika ismeretelmelet
Riportkönyv, tényirodalom;riportkonyv tenyirodalom
Internet;internet
Életrajz;eletrajz
Tanulmányok, műelemzések;tanulmanyok muelemzesek
II. világháború;ii vilaghaboru
Esszé;essze
Leporellók, lapozók;leporellok lapozok
Életrajzok;eletrajzok
1956;1956
Nemzetközi gazdaságtan;nemzetkozi gazdasagtan
Egészséges életmód;egeszseges eletmod
Magyarország;magyarorszag
Biológia, egészségtan;biologia egeszsegtan
Menedzsment, vezetési stratégiák;menedzsment vezetesi strategiak
Szobanövények;szobanovenyek
A történelmi Magyarország;a tortenelmi magyarorszag
Judaizmus;judaizmus
Verselemzések, tanulmányok;verselemzesek tanulmanyok
Francia;francia
Prózaelemzések, tanulmányok;prozaelemzesek tanulmanyok
Sonstiges;sonstiges
Deutschland;deutschland
Garten, Pflanzen, Natur;garten pflanzen natur
Tiermedizin;tiermedizin
Lernen;lernen
Unterrichtsmat., Lehrer;unterrichtsmat lehrer
Schulbücher;schulbucher
Allgemeines, Lexika;allgemeines lexika
Kunstgeschichte;kunstgeschichte
Musiktheorie, Musiklehre;musiktheorie musiklehre
VHS, Erwachsenenbildung;vhs erwachsenenbildung
Politikwissenschaft;politikwissenschaft
Auto, Motorrad, Moped;auto motorrad moped
Tiere, Pflanzen, Natur;tiere pflanzen natur
Didaktik, Methodik, Schulpädagogik, Fachdidaktik;didaktik methodik schulpadagogik fachdidaktik
Christentum;christentum
Entspannung, Yoga, Meditation, Autogenes Training;entspannung yoga meditation autogenes training
Sonderpädagogik, Behindertenpädagogik;sonderpadagogik behindertenpadagogik
Biographien, Erinnerungen;biographien erinnerungen
Biographien, Monographien;biographien monographien
Regionalgeschichte;regionalgeschichte
Management;management
Lyrik, Dramatik und Essays;lyrik dramatik und essays
Grenzwissenschaften;grenzwissenschaften
Theater, Ballett, Film, Fernsehen;theater ballett film fernsehen
Politika;politika
Média;media
A Rákosi- és Kádár-korszak;a rakosi es kadarkorszak
Földrajz;foldrajz
Magyarország a két világháború között;magyarorszag a ket vilaghaboru kozott
Vallástörténet;vallastortenet
Álláskeresés, karrierépítés, HR;allaskereses karrierepites hr
A Biblia világa;a biblia vilaga
Jog;jog
Népmesék;nepmesek
Matematika;matematika
Környezetismeret;kornyezetismeret
Budapest;budapest
Újkor;ujkor
Egyetemes művelődéstörténet;egyetemes muvelodestortenet
Romantikus;romantikus
